question_id,technique,query,rank,store_score,cosine_sim,chunk_len,preview,source_file,latency_ms
q1,token,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,1,0.818272,0.824643,239,"later CVE), which is why upgrading past one patched version does not guarantee protection against the other -- both fixes are required for full coverage of loda",03_lodash_CVE-2019-10744.txt,11.235
q1,token,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,2,0.784576,0.72655,644,"without checking whether a key resolves to the prototype chain, the attacker-controlled value ends up attached to every object in the application, not just the ",03_lodash_CVE-2019-10744.txt,11.235
q1,token,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,3,0.763502,0.804668,644,"Vulnerability ID: CVE-2020-8203 (GHSA-p6mc-m468-83gw) Package: lodash Ecosystem: npm Severity: High, CVSS 3.1 base score 7.4  Affected versions: lodash prior to",02_lodash_CVE-2020-8203.txt,11.235
q1,token,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,4,0.716212,0.788643,702,"Vulnerability ID: CVE-2019-10744 (GHSA-jf85-cpcp-j695) Package: lodash Ecosystem: npm Severity: Critical, CVSS 3.1 base score 9.1  Affected versions: lodash low",03_lodash_CVE-2019-10744.txt,11.235
q1,token,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,5,0.68314,0.555047,786,"arrays -- for example, passing a request body field directly into one of these helper functions. Successful exploitation causes an existing property to be added",02_lodash_CVE-2020-8203.txt,11.235
q1,semantic,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,1,0.774245,0.791135,1199,"Vulnerability ID: CVE-2020-8203 (GHSA-p6mc-m468-83gw) Package: lodash Ecosystem: npm Severity: High, CVSS 3.1 base score 7.4  Affected versions: lodash prior to",02_lodash_CVE-2020-8203.txt,7.014
q1,semantic,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,2,0.732065,0.795419,1225,"Vulnerability ID: CVE-2019-10744 (GHSA-jf85-cpcp-j695) Package: lodash Ecosystem: npm Severity: Critical, CVSS 3.1 base score 9.1  Affected versions: lodash low",03_lodash_CVE-2019-10744.txt,7.014
q1,semantic,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,3,0.647332,0.641367,2242,"No configuration workaround is documented; the fix is purely a version upgrade.  Sources: GitHub Advisory Database GHSA-p6mc-m468-83gw, NVD CVE-2020-8203, lodas",02_lodash_CVE-2020-8203.txt,7.014
q1,semantic,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,4,0.539095,0.619419,3290,Additional Notes: Related lodash and Utility-Library Advisories =====================================================================  This closing document bri,46_additional-lodash-hoek-notes.txt,7.014
q1,semantic,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,5,0.476542,0.37361,2850,Prototype Pollution in JavaScript: A Technical Deep Dive ==========================================================  Prototype pollution is a vulnerability clas,20_prototype-pollution-deep-dive.txt,7.014
